battle_id,heuristic,opponent_type,winner,won,turns,team_us,team_opp,fainted_us,remaining_pokemon_us,total_hp_us,fainted_opp,remaining_pokemon_opp,total_hp_opp
battle-gen9randombattle-7649,v1,random,v1Ad73f2ab1p8001,1,20,crawdaunt|eiscue|gardevoir|oinkologne|talonflame|tornadus,brambleghast|chiyu|grumpig|reshiram|ursaring|zebstrika,2,4,4.0,6,0,0.0
battle-gen9randombattle-7650,v1,random,v1Ad73f2ab1p8001,1,25,bruxish|cobalion|fluttermane|revavroom|suicune|venusaur,beartic|bisharp|clawitzer|lilligant|okidogi|volcanion,3,3,3.0,6,0,0.0
battle-gen9randombattle-7651,v1,random,v1Ad73f2ab1p8001,1,19,floatzel|ironcrown|kricketune|mudsdale|regice|rhyperior,arbok|cryogonal|ironleaves|reuniclus|whimsicott|zamazenta,2,4,4.0,6,0,0.0
battle-gen9randombattle-7652,v1,random,v1Ad73f2ab1p8001,1,14,medicham|slowking|toucannon|walkingwake|weavile|yanmega,ariados|corviknight|golem|palkiaorigin|rayquaza|tinglu,2,4,2.857,6,0,0.0
battle-gen9randombattle-7653,v1,random,v1Ad73f2ab1p8001,1,31,chansey|drifblim|grafaiai|granbull|rayquaza|revavroom,flapple|okidogi|plusle|spiritomb|suicune|swalot,2,4,3.268,6,0,0.0
battle-gen9randombattle-7654,v1,random,v1Ad73f2ab1p8001,1,8,abomasnow|enamorus|glastrier|hypno|sandyshocks|serperior,clawitzer|furret|kingambit|ludicolo|persianalola|zamazenta,0,6,5.089,6,0,0.0
battle-gen9randombattle-7655,v1,random,v1Ad73f2ab1p8001,1,23,eelektross|floatzel|hatterene|mabosstiff|politoed|toucannon,kommoo|masquerain|munkidori|noctowl|rotomfrost|terrakion,1,5,4.09,6,0,0.0
battle-gen9randombattle-7656,v1,random,v1Ad73f2ab1p8001,1,20,beartic|chienpao|hooh|mismagius|morpeko|tsareena,goodrahisui|hitmonchan|hitmontop|pikachuunova|regigigas|zebstrika,3,3,2.584,6,0,0.0
battle-gen9randombattle-7657,v1,random,v1Ad73f2ab1p8001,1,32,decidueyehisui|kricketune|mausholdfour|moltres|rabsca|swalot,bronzong|cacturne|magearna|noctowl|regigigas|rotomheat,1,5,4.441,6,0,0.0
battle-gen9randombattle-7658,v1,random,v1Ad73f2ab1p8001,1,20,banette|golurk|ironleaves|sandyshocks|skuntank|volcanion,conkeldurr|donphan|malamar|milotic|misdreavus|ogerponcornerstone,1,5,4.326,6,0,0.0
battle-gen9randombattle-7659,v1,random,Oppd73f2ab1p8001,0,33,indeedee|porygonz|rayquaza|rhydon|shiftry|slowkinggalar,dunsparce|exeggutoralola|houndoom|ironleaves|mandibuzz|orthworm,6,0,0.0,5,1,0.49
battle-gen9randombattle-7660,v1,random,v1Ad73f2ab1p8001,1,21,dusknoir|hawlucha|hypno|piloswine|tatsugiri|toedscruel,gliscor|houndstone|ironhands|regieleki|sableye|tornadus,2,4,3.859,6,0,0.0
battle-gen9randombattle-7661,v1,random,v1Ad73f2ab1p8001,1,16,azelf|clodsire|ironboulder|magnezone|palafin|sableye,glaceon|hawlucha|illumise|ninetalesalola|primarina|sandaconda,2,4,3.611,6,0,0.0
battle-gen9randombattle-7662,v1,random,v1Ad73f2ab1p8001,1,21,crawdaunt|greedent|lurantis|primarina|volbeat|weezing,bruxish|froslass|lurantis|miniorindigo|raikou|toxicroak,1,5,5.0,6,0,0.0
