battle_id,heuristic,opponent_type,winner,won,turns,team_us,team_opp,fainted_us,remaining_pokemon_us,total_hp_us,fainted_opp,remaining_pokemon_opp,total_hp_opp
battle-gen9randomdoublesbattle-61190,v1,random,v1Ab728c380p8000,1,12,cloyster|haxorus|meloetta|shayminsky|stonjourner|tinglu,arcaninehisui|illumise|koraidon|snorlax|thundurus|vileplume,1,5,4.278,6,0,0.0
battle-gen9randomdoublesbattle-61191,v1,random,v1Ab728c380p8000,1,10,baxcalibur|bellibolt|froslass|leavanny|palossand|taurospaldeablaze,bombirdier|cinccino|diancie|flapple|fluttermane|tyranitar,3,3,1.789,6,0,0.0
battle-gen9randomdoublesbattle-61192,v1,random,v1Ab728c380p8000,1,11,eternatus|gyarados|mamoswine|orthworm|rotomwash|urshifu,dachsbun|garchomp|honchkrow|oinkologne|primarina|scyther,4,2,1.932,6,0,0.0
battle-gen9randomdoublesbattle-61193,v1,random,v1Ab728c380p8000,1,9,copperajah|gengar|honchkrow|mandibuzz|serperior|swampert,brutebonnet|carbink|chesnaught|greninja|raichu|vigoroth,3,3,2.684,6,0,0.0
battle-gen9randomdoublesbattle-61194,v1,random,v1Ab728c380p8000,1,12,coalossal|dudunsparce|mesprit|palafin|perrserker|tentacruel,arceusice|crawdaunt|cresselia|grimmsnarl|slaking|toxtricity,2,4,3.366,6,0,0.0
battle-gen9randomdoublesbattle-61195,v1,random,v1Ab728c380p8000,1,4,dusknoir|heracross|kyogre|okidogi|sandyshocks|sinistcha,cinderace|galvantula|houndstone|lucario|oranguru|reshiram,0,6,5.165,6,0,0.0
battle-gen9randomdoublesbattle-61196,v1,random,v1Ab728c380p8000,1,6,ceruledge|crawdaunt|hitmonchan|magmortar|mudsdale|vespiquen,armarouge|donphan|ogerponwellspring|polteageistantique|salazzle|trevenant,1,5,5.0,6,0,0.0
battle-gen9randomdoublesbattle-61197,v1,random,v1Ab728c380p8000,1,7,gallade|mabosstiff|munkidori|palossand|rillaboom|sudowoodo,ambipom|comfey|illumise|latios|tinglu|volbeat,1,5,4.089,6,0,0.0
battle-gen9randomdoublesbattle-61198,v1,random,v1Ab728c380p8000,1,5,cacturne|houndstone|kyuremwhite|ogerponwellspring|rhydon|yanmega,bastiodon|golurk|hydreigon|latios|smeargle|toxicroak,0,6,5.607,6,0,0.0
battle-gen9randomdoublesbattle-61199,v1,random,v1Ab728c380p8000,1,7,clefairy|leafeon|magmar|overqwil|politoed|torkoal,arceusfairy|copperajah|skarmory|tentacruel|volcarona|zangoose,2,4,3.442,6,0,0.0
battle-gen9randomdoublesbattle-61200,v1,random,v1Ab728c380p8000,1,8,altaria|glaceon|malamar|pecharunt|slowbro|toucannon,blaziken|garchomp|gyarados|houndstone|moltres|persian,0,6,5.734,6,0,0.0
battle-gen9randomdoublesbattle-61201,v1,random,v1Ab728c380p8000,1,7,goodrahisui|landorus|lurantis|sandslashalola|talonflame|terapagosterastal,charizard|hypno|ironboulder|luxray|porygonz|whimsicott,2,4,3.024,6,0,0.0
